numero_facture;categorie;nb_envois;envoi_num;send_date;send_by;success;fne_invoice_id;fne_reference;fne_ncc;is_manual;error_message
P0271A1;MIXED;2;1;2026-02-23 17:04:50;blandine.toure;OK;;;;non;
P0271A1;MIXED;2;2;2026-03-25 09:09:11;blandine.toure;OK;19aaceb6-9261-442c-a4aa-64a13cf14b6a;9904279V26000003782;9904279V;non;
P0373J;MIXED;2;1;2026-03-18 14:50:15;blandine.toure;OK;;;;non;
P0373J;MIXED;2;2;2026-03-19 10:57:07;blandine.toure;OK;fce3d33d-513b-48c2-88eb-d16e2ff1deb0;9904279V26000003522;9904279V;non;
P0378J;MIXED;2;1;2026-03-18 16:36:18;blandine.toure;OK;;;;non;
P0378J;MIXED;2;2;2026-03-19 10:54:46;blandine.toure;OK;debb4c9e-398a-4f63-8ca0-6ab81b464a36;9904279V26000003518;9904279V;non;
P0395D;MIXED;2;1;2026-04-13 17:34:49;blandine.toure;OK;;;;non;
P0395D;MIXED;2;2;2026-04-13 17:35:08;blandine.toure;OK;2dbad368-6b6a-4c5b-a746-2bdc7fa17f25;9904279V26000004482;9904279V;non;
P0472A;MIXED;2;1;2026-03-18 14:49:29;blandine.toure;OK;;;;non;
P0472A;MIXED;2;2;2026-03-19 10:56:25;blandine.toure;OK;7cfbb34e-307f-4a9f-902b-8734825a316c;9904279V26000003521;9904279V;non;
